mode,id,question,hit,rank,latency_s,top_sources
faiss,12,游泳池实验中的边界反射为什么会形成多径？,1,1,0.1875,11_2022_Multipath_Propagation_of_Acoustic_Signal_in_a_Swimming_Pool—Source_Localization_Problem.pdf | 19_2021_Bayesian_Learning-Based_Clustered-Sparse_Channel_Estimation_for_Time-Varying_Underwater_Acoustic_OFDM_Communic.pdf | 16_2018_DOA_Estimation_for_Underwater_Target_by_Active_Detection_on_Virtual_Time_Reversal_Using_a_Uniform_Linear_Array.pdf | 16_2018_DOA_Estimation_for_Underwater_Target_by_Active_Detection_on_Virtual_Time_Reversal_Using_a_Uniform_Linear_Array.pdf | 22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf
faiss,13,浅水波导中多径对被动声源定位有什么影响？,0,,0.1777,"06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf | 04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf | 10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 05_2020_Underwater_TDOA_Acoustical_Location_Based_on_Majorization-Minimization_Optimization.pdf | 06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf"
faiss,14,匹配场处理MFP的基本原理是什么？,1,1,0.175,13_2015_Underwater_Acoustic_Matched_Field_Imaging_Based_on_Compressed_Sensing.pdf | 13_2015_Underwater_Acoustic_Matched_Field_Imaging_Based_on_Compressed_Sensing.pdf | 03_2022_Direct_Localization_in_Underwater_Acoustics_via_Convolutional_Neural_Networks__A_Data-Driven_Approach.pdf | 13_2015_Underwater_Acoustic_Matched_Field_Imaging_Based_on_Compressed_Sensing.pdf | 24_2024_Underwater_SSP_Measurement_and_Estimation__A_Survey.pdf
faiss,15,压缩感知为什么可以用于匹配场成像？,1,1,0.1612,13_2015_Underwater_Acoustic_Matched_Field_Imaging_Based_on_Compressed_Sensing.pdf | 13_2015_Underwater_Acoustic_Matched_Field_Imaging_Based_on_Compressed_Sensing.pdf | 14_2019_Localization_of_Two_Sound_Sources_Based_on_Compressed_Matched_Field_Processing_with_a_Short_Hydrophone_Array_i.pdf | 16_2018_DOA_Estimation_for_Underwater_Target_by_Active_Detection_on_Virtual_Time_Reversal_Using_a_Uniform_Linear_Array.pdf | 13_2015_Underwater_Acoustic_Matched_Field_Imaging_Based_on_Compressed_Sensing.pdf
faiss,16,短水听器阵列如何实现两个声源的匹配场定位？,1,2,0.182,"10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 14_2019_Localization_of_Two_Sound_Sources_Based_on_Compressed_Matched_Field_Processing_with_a_Short_Hydrophone_Array_i.pdf | 10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 13_2015_Underwater_Acoustic_Matched_Field_Imaging_Based_on_Compressed_Sensing.pdf | 04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf"
faiss,17,时间反转镜为什么能够用于水下声源定位？,1,1,0.188,"15_2022_Underwater_Sound_Source_Localization_Based_on_Passive_Time-Reversal_Mirror_and_Ray_Theory.pdf | 15_2022_Underwater_Sound_Source_Localization_Based_on_Passive_Time-Reversal_Mirror_and_Ray_Theory.pdf | 10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 15_2022_Underwater_Sound_Source_Localization_Based_on_Passive_Time-Reversal_Mirror_and_Ray_Theory.pdf | 15_2022_Underwater_Sound_Source_Localization_Based_on_Passive_Time-Reversal_Mirror_and_Ray_Theory.pdf"
faiss,18,射线理论如何辅助被动时间反转定位？,0,,0.1756,"16_2018_DOA_Estimation_for_Underwater_Target_by_Active_Detection_on_Virtual_Time_Reversal_Using_a_Uniform_Linear_Array.pdf | 16_2018_DOA_Estimation_for_Underwater_Target_by_Active_Detection_on_Virtual_Time_Reversal_Using_a_Uniform_Linear_Array.pdf | 12_2021_Passive_Source_Localization_Using_Acoustic_Intensity_in_Multipath-Dominant_Shallow-Water_Waveguide.pdf | 04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf | 10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf"
faiss,19,DOA估计在水下目标定位中的作用是什么？,1,2,0.1718,22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf | 04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf | 04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf | 09_2024_A_Co-Localization_Algorithm_for_Underwater_Moving_Targets_with_an_Unknown_Constant_Signal_Propagation_Speed_an.pdf | 17_2019_In-Depth_Exploration_of_Signal_Self-Cancellation_Phenomenon_to_Achieve_DOA_Estimation_of_Underwater_Acoustic_S.pdf
faiss,20,虚拟时间反转如何改善均匀线阵DOA估计？,1,1,0.1712,"16_2018_DOA_Estimation_for_Underwater_Target_by_Active_Detection_on_Virtual_Time_Reversal_Using_a_Uniform_Linear_Array.pdf | 16_2018_DOA_Estimation_for_Underwater_Target_by_Active_Detection_on_Virtual_Time_Reversal_Using_a_Uniform_Linear_Array.pdf | 25_2024_Artificial_Intelligence-Based_Underwater_Acoustic_Target_Recognition__A_Survey.pdf | 10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 16_2018_DOA_Estimation_for_Underwater_Target_by_Active_Detection_on_Virtual_Time_Reversal_Using_a_Uniform_Linear_Array.pdf"
faiss,21,信号自消除现象如何被用于水声DOA估计？,1,1,0.1849,17_2019_In-Depth_Exploration_of_Signal_Self-Cancellation_Phenomenon_to_Achieve_DOA_Estimation_of_Underwater_Acoustic_S.pdf | 17_2019_In-Depth_Exploration_of_Signal_Self-Cancellation_Phenomenon_to_Achieve_DOA_Estimation_of_Underwater_Acoustic_S.pdf | 17_2019_In-Depth_Exploration_of_Signal_Self-Cancellation_Phenomenon_to_Achieve_DOA_Estimation_of_Underwater_Acoustic_S.pdf | 17_2019_In-Depth_Exploration_of_Signal_Self-Cancellation_Phenomenon_to_Achieve_DOA_Estimation_of_Underwater_Acoustic_S.pdf | 17_2019_In-Depth_Exploration_of_Signal_Self-Cancellation_Phenomenon_to_Achieve_DOA_Estimation_of_Underwater_Acoustic_S.pdf
faiss,22,水声OFDM信道为什么具有稀疏多径特性？,1,2,0.1764,"23_2023_On_the_Effect_of_Channel_Knowledge_in_Underwater_Acoustic_Communications__Estimation,_Prediction_and_Protocol.pdf | 19_2021_Bayesian_Learning-Based_Clustered-Sparse_Channel_Estimation_for_Time-Varying_Underwater_Acoustic_OFDM_Communic.pdf | 21_2021_Pilot-Assisted_OFDM_for_Underwater_Acoustic_Communication.pdf | 21_2021_Pilot-Assisted_OFDM_for_Underwater_Acoustic_Communication.pdf | 20_2024_Underwater-Acoustic-OFDM_Channel_Estimation_Based_on_Deep_Learning_and_Data_Augmentation.pdf"
faiss,23,稀疏贝叶斯学习如何用于水声OFDM信道估计？,1,1,0.1778,19_2021_Bayesian_Learning-Based_Clustered-Sparse_Channel_Estimation_for_Time-Varying_Underwater_Acoustic_OFDM_Communic.pdf | 22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf | 19_2021_Bayesian_Learning-Based_Clustered-Sparse_Channel_Estimation_for_Time-Varying_Underwater_Acoustic_OFDM_Communic.pdf | 22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf | 19_2021_Bayesian_Learning-Based_Clustered-Sparse_Channel_Estimation_for_Time-Varying_Underwater_Acoustic_OFDM_Communic.pdf
faiss,24,时变水声OFDM信道的聚簇稀疏性是什么？,1,1,0.1745,"19_2021_Bayesian_Learning-Based_Clustered-Sparse_Channel_Estimation_for_Time-Varying_Underwater_Acoustic_OFDM_Communic.pdf | 23_2023_On_the_Effect_of_Channel_Knowledge_in_Underwater_Acoustic_Communications__Estimation,_Prediction_and_Protocol.pdf | 21_2021_Pilot-Assisted_OFDM_for_Underwater_Acoustic_Communication.pdf | 19_2021_Bayesian_Learning-Based_Clustered-Sparse_Channel_Estimation_for_Time-Varying_Underwater_Acoustic_OFDM_Communic.pdf | 23_2023_On_the_Effect_of_Channel_Knowledge_in_Underwater_Acoustic_Communications__Estimation,_Prediction_and_Protocol.pdf"
faiss,25,深度学习如何用于水声OFDM信道估计？,1,1,0.1685,22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf | 22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf | 22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf | 22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf | 24_2024_Underwater_SSP_Measurement_and_Estimation__A_Survey.pdf
faiss,26,数据增强为什么可能改善水声OFDM信道估计？,1,1,0.1846,"22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf | 23_2023_On_the_Effect_of_Channel_Knowledge_in_Underwater_Acoustic_Communications__Estimation,_Prediction_and_Protocol.pdf | 20_2024_Underwater-Acoustic-OFDM_Channel_Estimation_Based_on_Deep_Learning_and_Data_Augmentation.pdf | 19_2021_Bayesian_Learning-Based_Clustered-Sparse_Channel_Estimation_for_Time-Varying_Underwater_Acoustic_OFDM_Communic.pdf | 22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf"
faiss,27,导频辅助OFDM在水声通信中的作用是什么？,1,2,0.1828,"23_2023_On_the_Effect_of_Channel_Knowledge_in_Underwater_Acoustic_Communications__Estimation,_Prediction_and_Protocol.pdf | 21_2021_Pilot-Assisted_OFDM_for_Underwater_Acoustic_Communication.pdf | 20_2024_Underwater-Acoustic-OFDM_Channel_Estimation_Based_on_Deep_Learning_and_Data_Augmentation.pdf | 22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf | 22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf"
faiss,28,浅水水声OFDM信道建模需要考虑哪些因素？,1,1,0.1783,22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf | 22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf | 22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf | 22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf | 22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf
faiss,29,信道知识对水声通信性能有什么作用？,1,4,0.1704,"22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf | 19_2021_Bayesian_Learning-Based_Clustered-Sparse_Channel_Estimation_for_Time-Varying_Underwater_Acoustic_OFDM_Communic.pdf | 20_2024_Underwater-Acoustic-OFDM_Channel_Estimation_Based_on_Deep_Learning_and_Data_Augmentation.pdf | 23_2023_On_the_Effect_of_Channel_Knowledge_in_Underwater_Acoustic_Communications__Estimation,_Prediction_and_Protocol.pdf | 22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf"
faiss,30,声速剖面SSP的测量与估计方法有哪些？,1,1,0.1815,24_2024_Underwater_SSP_Measurement_and_Estimation__A_Survey.pdf | 24_2024_Underwater_SSP_Measurement_and_Estimation__A_Survey.pdf | 24_2024_Underwater_SSP_Measurement_and_Estimation__A_Survey.pdf | 24_2024_Underwater_SSP_Measurement_and_Estimation__A_Survey.pdf | 24_2024_Underwater_SSP_Measurement_and_Estimation__A_Survey.pdf
hybrid,1,TDOA水下定位的基本原理是什么？,1,1,0.1879,05_2020_Underwater_TDOA_Acoustical_Location_Based_on_Majorization-Minimization_Optimization.pdf | 05_2020_Underwater_TDOA_Acoustical_Location_Based_on_Majorization-Minimization_Optimization.pdf | 05_2020_Underwater_TDOA_Acoustical_Location_Based_on_Majorization-Minimization_Optimization.pdf | 04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf | 06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf
hybrid,2,未知声速会怎样影响TDOA/FDOA联合定位？,1,1,0.1959,01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 09_2024_A_Co-Localization_Algorithm_for_Underwater_Moving_Targets_with_an_Unknown_Constant_Signal_Propagation_Speed_an.pdf | 04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 09_2024_A_Co-Localization_Algorithm_for_Underwater_Moving_Targets_with_an_Unknown_Constant_Signal_Propagation_Speed_an.pdf
hybrid,3,传感器位置误差为什么会降低TDOA定位精度？,1,1,0.1944,05_2020_Underwater_TDOA_Acoustical_Location_Based_on_Majorization-Minimization_Optimization.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf | 04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf | 06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf
hybrid,4,Majorization-Minimization如何用于水下TDOA定位？,1,1,0.1931,05_2020_Underwater_TDOA_Acoustical_Location_Based_on_Majorization-Minimization_Optimization.pdf | 05_2020_Underwater_TDOA_Acoustical_Location_Based_on_Majorization-Minimization_Optimization.pdf | 05_2020_Underwater_TDOA_Acoustical_Location_Based_on_Majorization-Minimization_Optimization.pdf | 05_2020_Underwater_TDOA_Acoustical_Location_Based_on_Majorization-Minimization_Optimization.pdf | 05_2020_Underwater_TDOA_Acoustical_Location_Based_on_Majorization-Minimization_Optimization.pdf
hybrid,5,NLOS条件为什么会给水下传感器网络定位带来偏差？,1,1,0.1966,06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf | 06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf | 06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf | 06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf | 06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf
hybrid,6,RSS测量如何用于水下声学传感器网络目标定位？,1,2,0.1988,04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf | 07_2018_Target_Localization_in_Underwater_Acoustic_Sensor_Networks_Using_RSS_Measurements.pdf | 07_2018_Target_Localization_in_Underwater_Acoustic_Sensor_Networks_Using_RSS_Measurements.pdf | 04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf | 09_2024_A_Co-Localization_Algorithm_for_Underwater_Moving_Targets_with_an_Unknown_Constant_Signal_Propagation_Speed_an.pdf
hybrid,7,粗到细定位策略在水声通信接收机定位中的作用是什么？,0,,0.1994,"10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 05_2020_Underwater_TDOA_Acoustical_Location_Based_on_Majorization-Minimization_Optimization.pdf"
hybrid,8,移动目标协同定位中传播速度未知时如何处理？,1,1,0.1974,09_2024_A_Co-Localization_Algorithm_for_Underwater_Moving_Targets_with_an_Unknown_Constant_Signal_Propagation_Speed_an.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 07_2018_Target_Localization_in_Underwater_Acoustic_Sensor_Networks_Using_RSS_Measurements.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 09_2024_A_Co-Localization_Algorithm_for_Underwater_Moving_Targets_with_an_Unknown_Constant_Signal_Propagation_Speed_an.pdf
hybrid,9,USBL定位的基本思想是什么？,1,1,0.234,"10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf"
hybrid,10,全海深USBL定位面临哪些主要误差来源？,1,1,0.1992,"10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf | 10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf"
hybrid,11,水声多径效应是什么？,1,5,0.2036,24_2024_Underwater_SSP_Measurement_and_Estimation__A_Survey.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 25_2024_Artificial_Intelligence-Based_Underwater_Acoustic_Target_Recognition__A_Survey.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 13_2015_Underwater_Acoustic_Matched_Field_Imaging_Based_on_Compressed_Sensing.pdf
